102,Penicillin,"60mL Blended Scotch Whisky (2 oz)
22.5mL Fresh Lemon Juice (¾ oz)
22.5mL Honey-Ginger Syrup (¾ oz)
7.5mL Islay Whisky (¼ oz)",Shake ,On the Rocks,Candied Ginger,Old Fashioned,
103,Pimm’s Cup,"2 oz Pimm's #1
4 oz Lemon Soda",Built,Crushed Ice,,Collins,Pack glass with ice. Garnish with lemons cucumber ribbons or any other fruits you see fit
104,Pina Colada,"16 oz Ice
1.5 oz Crème of Coconut
1.5 oz Pineapple Juice
8 oz Fresh Pineapple
1.5 oz Rum",Blend,,Pineapple Wedge,Hurricane,
105,Pina Verde,"1.5 oz Green Chartreuse
1.5 oz Pineapple Juice
0.75 oz Coconut Cream
0.5 oz Lime Juice
8 oz Crushed Ice",Blend,,Mint Sprig,Tiki Glass,
106,Pink Squirrel,"1 oz Crème de Noyauz
1 oz Crème de Cacao
1 oz Milk",Shake,Straight Up,,Shooter,
107,Planter's Punch,"1 oz Lime Juice
0.75 oz Demerara Syrup
0. 25 oz Allspice Dram
3 oz Jamaican Rum
2 Dashes Angostura Bitters",Shake,Cracked Ice,Mint Sprig,Collins,Open pour
108,Poinsettia,"1 oz Cranberry Juice
0.25 oz Simple Syrup
0.5 oz Triple Sec
Top with Champagne",Stir,Straight Up,Orange Twist,Nick and Nora,
109,Queen’s Park Swizzle,"0.5 oz Lime Juice
.5 oz Demerara Syrup
2 Dashes of Angostura Bitters
2 oz Blended Black Rum
Swizzle over Crushed Ice Barspoon
Float of Grenadine",Built,Crushed Ice,Mint Sprig,Collins,
110,Ramos Gin Fizz,"2 oz Gin
.25 oz Simple Syrup
.75 ozLemon Juice
.75 oz Lime Juice
1 oz Heavy Cream
3 Drops Orange Flower Water",Shake,Straight Up,,Collins,1. Combine all ingrediants into shaker with ice and shake vigourously until ice is dissolved 2. Strain into glass 3. Top with seltzer
111,Remember the Maine,"2 oz Rye
0.75 oz Sweet Vermouth
2 tsp cherry heering liquer
0.5  tsp absinthe",Stir,Straight Up,Brandied Cherry,Coupe,
112,Rusty Nail,"1.5 oz Scotch
0.75 oz Drambuie",Stir,On the Rocks,,Old Fashioned,
113,Sazerac,"2 oz Rye
1 Barspoon Gomme Syrup
3 Dashes of Peychaurd's Bitters
1 Dash Absinthe",Stir,Straight Up,Lemon Twist,Old Fashioned,
114,Scandanavian Paralysis,"1.5 oz Akvavit
1.5 oz Orange Juice
1.5 oz Pineapple Juice
0.5 oz Lemon Juice
0.25 oz Orgeat
0.25 oz Demerara Syrup
Mint Sprig",Shake,Crushed Ice,Palm Fronds,Weizen,
115,Scorpian Bowl,"2 oz Lime Juice
4 oz Orange Juice
1.5 oz Demerara Syrup
2 oz Orgeat
2 oz Brandy
4 oz London Dry Gin
4 oz Aged Rum",Shake,Cracked Ice,,Scorpian Bowl,
116,Scotch Hi- Ball,"2 oz Scotch
4 oz Seltzer",Built,Straight Up,Lemon Twist,Collins,1. Pour seltzer and scotch into glass over an ice spear 
117,Sex on the Beach,"1.5 oz Vodka
0.25 oz Peach Liquer
0.75 oz Orange Juice
0.75 oz Cranberry Juice",Built,On the Rocks,Maraschino Cherry,Hurricane,Build in layers. Add ingrediants in order. Add ice after orange juice and before cranberry juice for the layered effect
118,Sidecar,"1.5 oz Cognac 
0.75 oz Orange Curçao
.75 oz of Lemon Juice",Shake,Straight Up,,Coupe,Coat rim with sugar
119,Siesta,"1.5 oz Blaco Tequila
0.5 oz Lime Juice
0.5 oz Simple Syrup
0.5 oz Grapefruit Juice
0.5 oz Campari
2 Dashes Angostura Bitters",Shake double strain ,Straight Up,Orange Peel,Nick and Nora,
120,Singapore Sling,"0.75 oz Lemon Juice
0.25 oz Demerara Syrup
0.5 oz Luxardo Sangue Morlacco
0.25 oz Benedictine
1.5 oz London Dry Gin
1 Dash of Orange Bitters
1 Dash of Angostura Bitters
2 oz Seltzer",Shake,Ice Spear,Lemon Wheel,Collins,Ice Spear
